Year,NewID,Project,Easting,Northing,Operator,CO2,Unit,Type,Industry_Proximity,Lat,Lon
2025,1,Drax Power Station BECCS Project,466305.3,427093.8,Drax,8.0,MtCO2/yr,Power BECCS,True,53.73602676627713,-0.9963122738360264
2025,2,Staythorpe CCGT Carbon Capture Retrofit,476255.4,353602.6,RWE Generation UK,5.0,MtCO2/yr,CCGT CCUS,True,53.07422137619397,-0.8632430294231576
2025,3,Pembroke CCGT Carbon Capture Retrofit,193103.2,202545.1,RWE Generation UK,4.0,MtCO2/yr,CCGT CCUS,True,51.68345080855247,-4.994330980422951
2025,4,Humber Zero,516207.5,416590.3,Phillips 66 and VPI Immingham,3.8,MtCO2/yr,Refinery CHP,True,53.63294521817648,-0.2440493565533645
2025,5,Solent Blue,445303.5,104134.2,ExxonMobil,3.0,MtCO2/yr,Refinery H2,True,50.83497282520933,-1.358035385258645
2025,6,Lynemouth Power BECCS,430576.5,590052.9,Lynemouth Power Limited,2.75,MtCO2/yr,Power BECCS,Maybe,55.2037920258752,-1.521122736215978
2025,7,VPI Immingham,516671.9,417254.4,VPI,2.43,MtCO2/yr,CHP CCUS,True,53.638808173392775,-0.2367806077662357
2025,8,H2Teesside,452323.1,523218.9,bp,2.4,MtCO2/yr,H2 CCUS,True,54.60144386862923,-1.1915891696872791
2025,9,Net Zero Teesside Power,456366.1,520280.4,[withheld],2.0,MtCO2/yr,CCGT CCUS,True,54.57460493671645,-1.1295764697289945
2025,10,Stallingborough Carbon Capture CCGT,522875.6,413336.4,RWE Generation UK,2.0,MtCO2/yr,CCGT CCUS,Maybe,53.602192536834615,-0.1445456119519052
2025,11,H2H Production 2,516187.9,427850.7,Equinor,1.8,MtCO2/yr,H2 CCUS,True,53.73411146489221,-0.2401325667125211
2025,12,VPI Immingham Hydrogen,516653.5,417185.1,VPI,1.8,MtCO2/yr,H2 CCUS,True,53.63818939326004,-0.2370856142859444
